occ_code,occ_title,group_code,group_name,employment,adoption_discount,amplification_multiplier,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18
1161,Production managers and directors in construction,11,Corporate Managers & Directors,167737,0.5,1.8,2,3,3,5,8,3,5,5,0,8,0,15,8,3,15,0,10,7
1162,Production managers and directors in mining and energy,11,Corporate Managers & Directors,167737,0.5,1.8,2,3,5,5,8,3,5,3,0,10,0,18,5,3,15,0,8,7
1171,Health services and public health managers and directors,11,Corporate Managers & Directors,167737,0.5,1.8,3,5,5,5,5,3,8,5,0,3,0,15,5,3,15,12,4,4
1172,Social services managers and directors,11,Corporate Managers & Directors,167737,0.5,1.8,3,5,5,5,5,3,8,8,0,2,0,12,5,5,12,15,3,4
1211,Managers and proprietors in agriculture and horticulture,12,Other Managers & Proprietors,92773,0.55,1.5,3,3,3,5,5,3,3,5,0,5,0,12,8,3,12,0,15,15
1212,"Managers and proprietors in forestry, fishing and related",12,Other Managers & Proprietors,92773,0.55,1.5,3,3,3,5,5,3,3,5,0,5,0,12,8,3,12,0,15,15
1221,Hotel and accommodation managers and proprietors,12,Other Managers & Proprietors,92773,0.55,1.5,5,5,3,8,8,3,3,12,0,2,1,10,8,3,12,0,8,9
1222,Restaurant and catering establishment managers and proprietors,12,Other Managers & Proprietors,92773,0.55,1.5,5,3,2,8,8,3,2,12,0,2,1,10,8,3,12,0,10,11
1223,Publicans and managers of licensed premises,12,Other Managers & Proprietors,92773,0.55,1.5,5,3,2,8,8,3,2,12,0,2,1,10,8,3,12,0,10,11
1224,Leisure and sports managers,12,Other Managers & Proprietors,92773,0.55,1.5,3,5,3,8,8,3,5,10,0,2,2,10,8,5,12,0,8,8
1225,Travel agency managers and proprietors,12,Other Managers & Proprietors,92773,0.55,1.5,5,5,5,8,8,3,5,18,1,2,1,8,10,3,10,0,5,3
1231,Health services managers,12,Other Managers & Proprietors,92773,0.55,1.5,3,5,5,8,5,3,8,8,0,3,0,15,5,3,15,10,4,0
1232,"Residential, day and domiciliary care managers and proprietors",12,Other Managers & Proprietors,92773,0.55,1.5,3,5,3,8,5,5,5,8,0,2,0,12,5,5,12,15,4,3
1233,Early education and childcare services proprietors,12,Other Managers & Proprietors,92773,0.55,1.5,3,5,3,8,5,3,5,10,0,2,0,12,5,8,12,12,4,3
1241,Managers in transport and distribution,12,Other Managers & Proprietors,92773,0.55,1.5,3,5,3,10,8,5,3,5,0,5,0,12,5,3,15,0,10,8
1242,Managers in storage and warehousing,12,Other Managers & Proprietors,92773,0.55,1.5,3,5,3,10,8,5,3,5,0,5,0,10,5,3,15,0,10,10
1243,Managers in logistics,12,Other Managers & Proprietors,92773,0.55,1.5,3,5,5,10,8,5,5,5,0,5,0,12,8,3,15,0,8,3
1251,"Property, housing and estate managers",12,Other Managers & Proprietors,92773,0.55,1.5,3,5,5,8,8,3,5,10,0,3,0,12,10,2,10,0,10,6
1252,Garage managers and proprietors,12,Other Managers & Proprietors,92773,0.55,1.5,3,3,3,5,8,3,3,10,0,8,0,10,8,3,12,0,15,6
1253,Hairdressing and beauty salon managers and proprietors,12,Other Managers & Proprietors,92773,0.55,1.5,3,3,2,8,8,3,2,15,0,2,2,8,8,5,10,15,5,1
1254,Shopkeepers and owners – retail and wholesale,12,Other Managers & Proprietors,92773,0.55,1.5,5,3,3,5,10,5,2,15,0,2,1,10,10,2,10,0,12,5
1255,Managers and directors in the creative industries,12,Other Managers & Proprietors,92773,0.55,1.5,3,5,5,8,5,3,10,8,1,3,12,12,8,3,10,0,4,0
1256,Betting shop and gambling establishment managers,12,Other Managers & Proprietors,92773,0.55,1.5,5,3,2,5,8,5,2,12,0,3,0,10,5,3,12,0,15,10
1257,Hire services managers and proprietors,12,Other Managers & Proprietors,92773,0.55,1.5,5,5,3,8,8,5,3,12,0,3,0,10,8,3,12,0,10,5
1258,Directors in consultancy services,12,Other Managers & Proprietors,92773,0.55,1.5,2,3,10,5,5,2,15,8,0,5,2,15,12,3,10,0,3,0
1259,Managers and proprietors in other services n.e.c.,12,Other Managers & Proprietors,92773,0.55,1.5,3,5,5,8,8,3,5,10,0,3,1,12,8,3,12,0,8,6
2111,Chemical scientists,21,"Science, Research, Engineering & Technology Professionals",75214,0.5,2.5,5,3,18,2,8,5,12,2,1,25,0,8,1,5,3,0,2,0
2112,Biological scientists,21,"Science, Research, Engineering & Technology Professionals",75214,0.5,2.5,5,3,18,2,8,5,12,2,1,25,0,8,1,5,3,0,2,0
2113,Biochemists and biomedical scientists,21,"Science, Research, Engineering & Technology Professionals",75214,0.5,2.5,5,3,15,2,8,5,12,2,1,28,0,8,1,5,3,0,2,0
2114,Physical scientists,21,"Science, Research, Engineering & Technology Professionals",75214,0.5,2.5,5,3,18,2,8,5,12,2,1,25,0,8,1,5,3,0,2,0
2115,Social and humanities scientists,21,"Science, Research, Engineering & Technology Professionals",75214,0.5,2.5,3,5,20,3,5,3,20,3,2,5,0,10,3,8,5,0,5,0
2119,Natural and social science professionals n.e.c.,21,"Science, Research, Engineering & Technology Professionals",75214,0.5,2.5,5,3,18,2,8,5,12,3,1,22,0,8,2,5,4,0,2,0
2121,Civil engineers,21,"Science, Research, Engineering & Technology Professionals",75214,0.5,2.5,3,3,10,3,10,3,15,5,0,25,2,8,3,3,5,0,2,0
2122,Mechanical engineers,21,"Science, Research, Engineering & Technology Professionals",75214,0.5,2.5,3,3,10,3,10,3,12,3,0,30,2,8,2,3,5,0,3,0
2123,Electrical engineers,21,"Science, Research, Engineering & Technology Professionals",75214,0.5,2.5,3,3,10,3,10,3,12,3,0,30,2,8,2,3,5,0,3,0
2124,Electronics engineers,21,"Science, Research, Engineering & Technology Professionals",75214,0.5,2.5,3,3,10,3,8,3,12,3,0,32,2,8,2,3,5,0,3,0
2125,Chemical engineers,21,"Science, Research, Engineering & Technology Professionals",75214,0.5,2.5,3,3,12,3,10,3,12,3,0,28,2,8,2,3,5,0,3,0
2126,Aerospace engineers,21,"Science, Research, Engineering & Technology Professionals",75214,0.5,2.5,3,3,10,3,10,3,12,3,0,30,2,8,2,3,5,0,3,0
2127,Engineering project managers and project engineers,21,"Science, Research, Engineering & Technology Professionals",75214,0.5,2.5,3,5,8,8,8,3,10,5,0,15,1,12,5,3,10,0,4,0
2129,Engineering professionals n.e.c.,21,"Science, Research, Engineering & Technology Professionals",75214,0.5,2.5,3,3,10,3,10,3,12,5,0,25,2,8,3,3,5,0,3,2
2131,IT project managers,21,"Science, Research, Engineering & Technology Professionals",75214,0.5,2.5,3,5,5,10,5,3,10,8,0,15,1,12,5,3,12,0,3,0
2132,IT managers,21,"Science, Research, Engineering & Technology Professionals",75214,0.5,2.5,3,5,5,8,5,3,8,5,0,15,1,15,5,5,12,0,5,0
2133,"IT business analysts, architects and systems designers",21,"Science, Research, Engineering & Technology Professionals",75214,0.5,2.5,3,5,10,5,5,3,15,5,0,25,2,10,2,3,5,0,2,0
2134,Programmers and software development professionals,21,"Science, Research, Engineering & Technology Professionals",75214,0.5,2.5,2,2,8,2,3,3,5,3,0,55,2,5,1,3,4,0,2,0
2135,Cyber security professionals,21,"Science, Research, Engineering & Technology Professionals",75214,0.5,2.5,3,3,12,3,3,8,10,3,0,35,0,10,2,3,5,0,0,0
2136,IT quality and testing professionals,21,"Science, Research, Engineering & Technology Professionals",75214,0.5,2.5,3,5,8,3,5,10,8,3,0,35,0,8,2,3,5,0,2,0
2137,IT network professionals,21,"Science, Research, Engineering & Technology Professionals",75214,0.5,2.5,3,3,8,3,3,5,5,3,0,40,0,8,2,3,5,0,9,0
2139,Information technology professionals n.e.c.,21,"Science, Research, Engineering & Technology Professionals",75214,0.5,2.5,3,3,8,3,5,5,8,5,0,35,2,8,2,5,5,0,3,0
2141,Web design and development professionals,21,"Science, Research, Engineering & Technology Professionals",75214,0.5,2.5,2,2,8,3,2,3,5,5,0,35,20,5,2,3,3,0,2,0
2142,Graphic and multimedia designers,21,"Science, Research, Engineering & Technology Professionals",75214,0.5,2.5,2,2,5,3,2,2,5,8,0,10,40,5,3,3,5,0,5,0
2151,Conservation professionals,21,"Science, Research, Engineering & Technology Professionals",75214,0.5,2.5,3,3,15,3,5,5,15,3,0,15,0,10,5,5,5,0,5,3
2152,Environment professionals,21,"Science, Research, Engineering & Technology Professionals",75214,0.5,2.5,3,3,15,3,8,5,18,3,0,15,0,10,5,3,5,0,2,2
2161,"Actuaries, economists and statisticians",21,"Science, Research, Engineering & Technology Professionals",75214,0.5,2.5,3,3,15,3,25,5,15,3,0,15,0,8,2,1,2,0,0,0
2162,"Other researchers, unspecified discipline",21,"Science, Research, Engineering & Technology Professionals",75214,0.5,2.5,3,3,25,3,8,5,20,3,1,15,0,5,1,3,3,0,2,0
2211,Generalist medical practitioners,22,Health Professionals,71038,0.55,1.8,5,5,8,3,2,5,5,15,0,10,0,18,2,3,3,15,1,0
2212,Specialist medical practitioners,22,Health Professionals,71038,0.55,1.8,3,5,10,3,3,3,8,8,0,15,0,18,2,5,3,12,2,0
2213,Dental practitioners,22,Health Professionals,71038,0.55,1.8,3,3,5,3,2,2,3,10,0,5,0,12,3,3,2,20,22,2
2221,Physiotherapists,22,Health Professionals,71038,0.55,1.8,5,3,5,5,2,3,5,10,0,8,0,10,2,5,2,25,10,0
2222,Occupational therapists,22,Health Professionals,71038,0.55,1.8,5,5,5,5,2,5,8,10,0,8,0,10,2,5,2,25,3,0
2223,Speech and language therapists,22,Health Professionals,71038,0.55,1.8,5,3,5,5,2,3,8,12,0,5,0,10,2,8,2,25,5,0
2224,Psychotherapists and cognitive behaviour therapists,22,Health Professionals,71038,0.55,1.8,5,5,5,5,2,2,8,15,0,5,0,15,2,5,2,22,2,0
2225,Clinical psychologists,22,Health Professionals,71038,0.55,1.8,3,5,10,3,5,5,15,8,0,10,0,15,2,5,3,10,1,0
2226,Other psychologists,22,Health Professionals,71038,0.55,1.8,3,5,12,3,5,5,15,5,0,10,0,12,2,8,5,8,2,0
2229,Therapy professionals n.e.c.,22,Health Professionals,71038,0.55,1.8,5,3,5,5,2,3,5,12,0,8,0,10,2,5,2,25,5,3
2231,Midwives,22,Health Professionals,71038,0.55,1.8,5,5,5,5,2,3,5,10,0,5,0,10,1,5,3,30,5,1
2232,Registered community nurses,22,Health Professionals,71038,0.55,1.8,8,5,5,5,2,5,5,12,0,5,0,8,1,5,3,25,5,1
2233,Registered specialist nurses,22,Health Professionals,71038,0.55,1.8,5,5,5,3,2,5,5,8,0,8,0,10,1,5,3,30,5,0
2234,Registered nurse practitioners,22,Health Professionals,71038,0.55,1.8,5,5,5,5,2,5,5,10,0,8,0,10,1,5,3,25,5,1
2235,Registered mental health nurses,22,Health Professionals,71038,0.55,1.8,8,5,5,5,2,3,5,12,0,3,0,8,1,5,3,30,3,2
2236,Registered children's nurses,22,Health Professionals,71038,0.55,1.8,5,5,5,5,2,3,5,10,0,5,0,8,1,5,3,30,5,3
2237,Other registered nursing professionals,22,Health Professionals,71038,0.55,1.8,5,5,5,5,2,5,5,10,0,5,0,10,1,5,3,25,5,4
2241,Veterinarians,22,Health Professionals,71038,0.55,1.8,3,3,5,3,2,3,5,10,0,10,0,15,3,3,2,15,17,1
2242,Pharmacists,22,Health Professionals,71038,0.55,1.8,5,3,8,3,2,5,5,15,0,15,0,12,2,3,3,12,5,2
2243,Ophthalmic opticians,22,Health Professionals,71038,0.55,1.8,5,3,5,5,2,3,3,15,0,12,0,12,5,2,3,18,5,2
2251,Radiographers,22,Health Professionals,71038,0.55,1.8,5,3,3,3,2,3,3,8,0,20,0,8,1,3,2,25,10,1
2252,Podiatrists,22,Health Professionals,71038,0.55,1.8,5,3,3,5,2,3,3,12,0,5,0,10,3,3,2,25,15,1
2253,Health promotion officers,22,Health Professionals,71038,0.55,1.8,5,5,10,5,5,3,15,10,0,3,3,8,5,10,3,5,3,2
2254,Dietitians,22,Health Professionals,71038,0.55,1.8,5,3,10,5,5,3,10,15,0,8,0,10,2,10,3,8,3,0
2255,Paramedics,22,Health Professionals,71038,0.55,1.8,5,3,2,3,1,5,2,8,0,10,0,15,1,3,2,25,10,5
2259,Other health professionals n.e.c.,22,Health Professionals,71038,0.55,1.8,5,3,5,5,2,3,5,10,0,10,0,12,2,5,3,20,5,5
2311,Higher education teaching professionals,23,Teaching & Educational Professionals,155636,0.58,1.5,3,3,20,3,3,3,18,3,1,5,0,5,1,25,3,0,4,0
2312,Further education teaching professionals,23,Teaching & Educational Professionals,155636,0.58,1.5,3,3,10,5,3,3,12,5,1,3,2,3,1,35,5,0,5,1
2313,Secondary education teaching professionals,23,Teaching & Educational Professionals,155636,0.58,1.5,3,5,8,5,3,3,10,5,0,3,1,3,1,40,5,0,4,1
2314,Primary education teaching professionals,23,Teaching & Educational Professionals,155636,0.58,1.5,3,5,5,5,3,5,8,8,0,1,2,3,1,40,5,0,3,3
2315,Nursery education teaching professionals,23,Teaching & Educational Professionals,155636,0.58,1.5,3,3,3,5,2,3,5,10,0,1,2,3,1,35,5,12,5,2
2316,Special needs education teaching professionals,23,Teaching & Educational Professionals,155636,0.58,1.5,3,5,8,5,2,3,8,8,0,2,1,5,1,35,5,5,3,1
2317,Teachers of English as a foreign language,23,Teaching & Educational Professionals,155636,0.58,1.5,3,5,5,5,2,2,8,10,10,2,2,3,1,38,3,0,1,0
2319,Teaching professionals n.e.c.,23,Teaching & Educational Professionals,155636,0.58,1.5,3,5,8,5,3,3,10,5,1,3,2,3,2,35,5,0,5,2
2321,Head teachers and principals,23,Teaching & Educational Professionals,155636,0.58,1.5,2,5,5,8,5,2,10,5,0,2,0,15,5,5,25,0,3,3
2322,Education managers,23,Teaching & Educational Professionals,155636,0.58,1.5,3,5,5,8,5,3,8,5,0,2,0,12,5,5,25,0,5,4
2329,Other educational professionals n.e.c.,23,Teaching & Educational Professionals,155636,0.58,1.5,3,5,8,5,5,3,10,5,0,3,1,8,3,25,8,0,5,3
2411,Barristers and judges,24,"Business, Media & Public Service Professionals",77065,0.5,2,2,3,20,3,1,3,25,5,0,3,0,20,8,2,3,0,2,0
2412,Solicitors,24,"Business, Media & Public Service Professionals",77065,0.5,2,3,5,18,3,2,3,25,8,0,3,0,12,10,2,3,0,3,0
2419,Legal professionals n.e.c.,24,"Business, Media & Public Service Professionals",77065,0.5,2,3,5,18,3,2,3,22,8,0,5,0,12,8,3,3,0,3,2
2421,Chartered and certified accountants,24,"Business, Media & Public Service Professionals",77065,0.5,2,5,3,8,3,25,5,10,5,0,8,0,10,5,2,5,0,3,3
2422,Finance and investment analysts and advisers,24,"Business, Media & Public Service Professionals",77065,0.5,2,3,3,15,3,20,3,12,8,0,10,0,10,5,2,3,0,3,0
2423,Taxation experts,24,"Business, Media & Public Service Professionals",77065,0.5,2,5,3,12,3,20,5,15,5,0,10,0,8,5,2,3,0,2,2
2424,Management consultants and business analysts,24,"Business, Media & Public Service Professionals",77065,0.5,2,3,3,15,5,8,3,18,5,0,8,2,12,8,3,5,0,2,0
2425,Business and financial project management professionals,24,"Business, Media & Public Service Professionals",77065,0.5,2,3,5,8,10,10,3,10,5,0,5,1,12,5,3,15,0,3,2
2431,Advertising and marketing professionals,24,"Business, Media & Public Service Professionals",77065,0.5,2,3,3,10,5,5,3,15,8,1,3,12,8,8,3,5,0,5,3
2432,Marketing and commercial managers,24,"Business, Media & Public Service Professionals",77065,0.5,2,2,5,8,5,8,3,10,8,0,3,5,15,12,3,10,0,3,0
2433,Public relations professionals,24,"Business, Media & Public Service Professionals",77065,0.5,2,3,5,10,5,2,3,20,12,1,2,3,8,10,3,5,0,5,3
2434,Business and related research professionals,24,"Business, Media & Public Service Professionals",77065,0.5,2,3,3,22,3,10,5,20,3,0,10,0,8,2,3,3,0,3,2
2435,Professional/Chartered company secretaries,24,"Business, Media & Public Service Professionals",77065,0.5,2,5,5,8,8,5,5,15,5,0,3,0,12,5,2,12,0,5,5
2439,"Business, research and administrative professionals n.e.c.",24,"Business, Media & Public Service Professionals",77065,0.5,2,3,5,12,5,8,3,15,5,0,5,2,12,5,3,8,0,5,4
2440,Business and financial project management professionals,24,"Business, Media & Public Service Professionals",77065,0.5,2,3,5,8,10,10,3,10,5,0,5,1,12,5,3,15,0,3,2
2451,Architects,24,"Business, Media & Public Service Professionals",77065,0.5,2,2,2,8,3,3,2,10,5,0,15,30,8,3,2,3,0,4,0
2452,"Chartered architectural technologists, planning officers and consultants",24,"Business, Media & Public Service Professionals",77065,0.5,2,3,3,10,3,3,3,15,5,0,15,10,10,5,3,5,0,5,2
2453,Quantity surveyors,24,"Business, Media & Public Service Professionals",77065,0.5,2,3,3,8,3,20,5,12,5,0,15,0,10,8,2,3,0,3,0
2454,Chartered surveyors,24,"Business, Media & Public Service Professionals",77065,0.5,2,3,3,8,3,12,5,12,5,0,15,0,12,8,2,3,0,5,4
2461,Social workers,24,"Business, Media & Public Service Professionals",77065,0.5,2,8,5,8,5,2,5,10,12,0,2,0,8,3,3,3,20,3,3
2462,Probation officers,24,"Business, Media & Public Service Professionals",77065,0.5,2,8,5,8,5,2,5,10,10,0,2,0,10,5,3,5,15,3,4
2463,Clergy,24,"Business, Media & Public Service Professionals",77065,0.5,2,2,5,8,5,2,1,10,15,0,1,0,8,5,15,5,15,2,1
2464,Youth work professionals,24,"Business, Media & Public Service Professionals",77065,0.5,2,5,5,5,5,2,3,5,15,0,2,2,5,3,15,5,18,3,2
2469,Welfare professionals n.e.c.,24,"Business, Media & Public Service Professionals",77065,0.5,2,8,5,8,5,2,5,8,12,0,2,0,8,3,5,3,18,5,3
2471,Librarians,24,"Business, Media & Public Service Professionals",77065,0.5,2,5,3,18,5,2,8,5,10,1,3,2,3,1,10,5,0,15,4
2472,Archivists and curators,24,"Business, Media & Public Service Professionals",77065,0.5,2,5,3,15,3,2,10,8,5,1,5,3,5,2,8,3,0,18,4
2481,Quality control and planning engineers,24,"Business, Media & Public Service Professionals",77065,0.5,2,3,3,8,3,10,10,10,3,0,25,0,10,3,3,5,0,4,0
2482,Environmental health professionals,24,"Business, Media & Public Service Professionals",77065,0.5,2,3,3,10,5,5,8,12,5,0,12,0,10,5,3,3,0,8,8
2483,Regulatory professionals,24,"Business, Media & Public Service Professionals",77065,0.5,2,3,3,12,3,5,10,15,5,0,8,0,12,5,3,5,0,5,6
2491,"Newspaper, periodical and broadcast editors",24,"Business, Media & Public Service Professionals",77065,0.5,2,2,5,10,5,2,5,20,5,1,2,5,10,5,3,8,0,10,2
2492,Newspaper and periodical journalists and reporters,24,"Business, Media & Public Service Professionals",77065,0.5,2,2,3,15,5,2,3,25,8,1,2,5,5,5,2,3,0,10,4
3111,Laboratory technicians,31,"Science, Engineering & Technology Associate Professionals",57000,0.5,2,8,3,8,3,8,8,5,2,0,18,0,3,1,3,3,0,25,2
3112,Electrical and electronics technicians,31,"Science, Engineering & Technology Associate Professionals",57000,0.5,2,5,3,5,3,5,5,5,3,0,20,0,5,2,3,5,0,28,3
3113,Engineering technicians,31,"Science, Engineering & Technology Associate Professionals",57000,0.5,2,5,3,5,3,5,5,5,3,0,20,0,5,2,3,5,0,25,6
3114,Building and civil engineering technicians,31,"Science, Engineering & Technology Associate Professionals",57000,0.5,2,5,3,5,3,5,5,8,3,0,15,2,5,2,3,5,0,20,11
3115,Quality assurance technicians,31,"Science, Engineering & Technology Associate Professionals",57000,0.5,2,5,3,5,3,5,15,8,3,0,20,0,8,2,3,5,0,15,0
3116,"Planning, process and production technicians",31,"Science, Engineering & Technology Associate Professionals",57000,0.5,2,5,3,5,5,8,5,5,3,0,18,0,8,2,3,8,0,15,7
3119,"Science, engineering and production technicians n.e.c.",31,"Science, Engineering & Technology Associate Professionals",57000,0.5,2,5,3,5,3,5,5,5,3,0,20,0,5,2,3,5,0,25,6
3121,Architectural and town planning technicians,31,"Science, Engineering & Technology Associate Professionals",57000,0.5,2,5,3,8,3,5,5,10,3,0,15,12,5,3,3,3,0,12,5
3122,Draughtspersons,31,"Science, Engineering & Technology Associate Professionals",57000,0.5,2,3,2,5,2,3,3,3,2,0,15,25,3,1,2,2,0,25,4
3131,IT operations technicians,31,"Science, Engineering & Technology Associate Professionals",57000,0.5,2,5,3,5,5,3,8,5,8,0,30,0,5,2,5,5,0,11,0
3132,IT user support technicians,31,"Science, Engineering & Technology Associate Professionals",57000,0.5,2,5,3,5,5,3,5,5,20,0,25,0,3,2,5,5,0,9,0
3133,Database administrators and web content technicians,31,"Science, Engineering & Technology Associate Professionals",57000,0.5,2,5,3,8,3,5,8,5,3,0,35,3,5,2,3,5,0,7,0
3211,Dispensing opticians,32,Health & Social Care Associate Professionals,71615,0.55,1.5,5,3,3,5,2,3,2,20,0,8,0,5,3,2,2,20,15,2
3212,Pharmaceutical technicians,32,Health & Social Care Associate Professionals,71615,0.55,1.5,5,3,3,5,3,8,2,10,0,10,0,5,1,3,2,12,25,3
3213,Medical and dental technicians,32,Health & Social Care Associate Professionals,71615,0.55,1.5,5,3,3,3,3,5,3,5,0,10,0,5,1,3,2,10,35,4
3214,Complementary health associate professionals,32,Health & Social Care Associate Professionals,71615,0.55,1.5,3,3,5,5,2,3,3,15,0,5,0,8,3,5,2,25,10,3
3219,Health associate professionals n.e.c.,32,Health & Social Care Associate Professionals,71615,0.55,1.5,5,3,5,5,3,5,5,10,0,8,0,5,2,5,3,20,10,6
3221,Youth and community workers,32,Health & Social Care Associate Professionals,71615,0.55,1.5,5,5,5,5,2,3,5,15,0,2,2,5,3,15,5,18,3,2
3222,Child and early years officers,32,Health & Social Care Associate Professionals,71615,0.55,1.5,5,5,3,5,2,3,5,10,0,2,1,5,2,15,5,25,5,2
3223,Housing officers,32,Health & Social Care Associate Professionals,71615,0.55,1.5,5,5,5,5,3,5,8,15,0,3,0,8,5,2,5,10,10,6
3224,Counsellors,32,Health & Social Care Associate Professionals,71615,0.55,1.5,3,3,5,5,1,2,5,20,0,3,0,10,2,5,2,30,2,2
3229,Welfare and housing associate professionals n.e.c.,32,Health & Social Care Associate Professionals,71615,0.55,1.5,5,5,5,5,3,5,8,12,0,3,0,8,5,3,5,15,8,5
3231,Higher level teaching assistants,32,Health & Social Care Associate Professionals,71615,0.55,1.5,5,5,3,5,2,3,5,8,0,2,2,3,1,35,5,10,3,3
3232,Early education and childcare practitioners,32,Health & Social Care Associate Professionals,71615,0.55,1.5,3,3,2,3,1,2,3,8,0,1,2,3,1,20,3,35,5,5
3240,Veterinary nurses,32,Health & Social Care Associate Professionals,71615,0.55,1.5,5,3,3,3,2,3,2,8,0,8,0,5,1,3,2,30,20,2
3311,NCOs and other ranks,33,Protective Service Occupations,87600,0.55,1.3,3,3,3,5,2,3,3,5,0,5,0,10,3,8,8,0,20,19
3312,Police officers (sergeant and below),33,Protective Service Occupations,87600,0.55,1.3,5,5,5,5,3,8,8,10,0,5,0,10,5,3,5,2,10,11
3313,Fire service officers (watch manager and below),33,Protective Service Occupations,87600,0.55,1.3,3,3,3,5,2,3,5,5,0,5,0,10,2,5,8,5,18,18
3314,Prison service officers (below principal officer),33,Protective Service Occupations,87600,0.55,1.3,5,5,3,5,2,5,3,10,0,2,0,8,3,3,5,12,15,14
3319,Protective service associate professionals n.e.c.,33,Protective Service Occupations,87600,0.55,1.3,5,5,5,5,3,5,5,8,0,5,0,10,5,5,8,0,13,13
3411,Artists,34,"Culture, Media & Sports Occupations",40786,0.5,2,1,1,5,2,1,1,3,5,0,3,50,3,3,5,2,0,10,5
3412,"Authors, writers and translators",34,"Culture, Media & Sports Occupations",40786,0.5,2,2,5,15,3,1,2,40,3,10,2,2,3,2,3,2,0,3,2
3413,"Actors, entertainers and presenters",34,"Culture, Media & Sports Occupations",40786,0.5,2,1,2,5,5,1,1,5,10,0,2,5,3,5,3,2,0,39,11
3414,Dancers and choreographers,34,"Culture, Media & Sports Occupations",40786,0.5,2,1,1,3,5,1,1,3,3,0,2,5,3,3,5,3,0,44,17
3415,Musicians,34,"Culture, Media & Sports Occupations",40786,0.5,2,1,1,5,5,1,1,3,5,0,3,5,3,3,5,3,0,45,11
3416,"Arts officers, producers and directors",34,"Culture, Media & Sports Occupations",40786,0.5,2,3,5,5,8,5,3,10,8,0,3,8,12,8,3,10,0,5,4
3417,"Photographers, audio-visual and broadcasting equipment operators",34,"Culture, Media & Sports Occupations",40786,0.5,2,2,2,3,5,2,2,3,8,0,15,15,3,3,2,2,0,30,3
3421,Interior designers,34,"Culture, Media & Sports Occupations",40786,0.5,2,2,2,5,5,3,2,8,12,0,5,30,5,5,2,3,0,8,3
3422,"Clothing, fashion and accessories designers",34,"Culture, Media & Sports Occupations",40786,0.5,2,2,2,5,3,3,2,5,8,0,5,35,5,5,2,3,0,12,3
3429,Design occupations n.e.c.,34,"Culture, Media & Sports Occupations",40786,0.5,2,2,2,5,3,3,2,8,8,0,8,30,5,5,3,3,0,8,5
3431,Sports players,34,"Culture, Media & Sports Occupations",40786,0.5,2,1,1,2,3,1,1,1,3,0,3,1,3,3,3,2,0,55,17
3432,"Sports coaches, instructors and officials",34,"Culture, Media & Sports Occupations",40786,0.5,2,2,3,3,5,2,2,3,10,0,3,1,5,3,25,5,3,15,10
3433,Fitness instructors,34,"Culture, Media & Sports Occupations",40786,0.5,2,2,2,2,5,2,2,2,15,0,3,1,3,3,20,3,5,20,10
